Series Name,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Indicator Name,Long definition,Source,Topic,Periodicity,Aggregation method,Statistical concept and methodology,Development relevance,Limitations and exceptions,,
"Population ages 15-19, female",Female population between the ages 15 to 19.,World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects.,Health: Population: Structure,Annual,Sum,,,,,
"Population ages 15-19, female (% of female population)",Female population between the ages 15 to 19 as a percentage of the total female population.,"World Population Prospects, United Nations (UN), publisher: UN Population Division",Health: Population: Structure,Annual,Weighted average,"Methodology: Population structure by age and sex in the World Bank's estimates is based on age/sex distributions of the population in United Nations Population Division's World Population Prospects.
Statistical concept(s): Proportion of population by age and/or sex describes the proportion of the population in the category out of total (or male total or female total). Population estimates are dependent on the demographic components of change that are fertility, mortality and migration. As the age/sex distribution of population continues to change throughout the time even within a year, a reference time in the year that the estimate refers to is needed, such as mid-year, end-year or beginning of year. The values shown are midyear estimates.",Patterns of development in a country are partly determined by the age composition of its population. Different age groups have different impacts on both the environment and on infrastructure needs.  Therefore the age structure of a population is useful for analyzing resource use and formulating future policy and planning goals  with regards infrastructure and development.,,,
"Population ages 15-19, male",Male population between the ages 15 to 19.,World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects.,Health: Population: Structure,Annual,Sum,,,,,
"Population ages 15-19, male (% of male population)",Male population between the ages 15 to 19 as a percentage of the total male population.,"World Population Prospects, United Nations (UN), publisher: UN Population Division",Health: Population: Structure,Annual,Weighted average,"Methodology: Population structure by age and sex in the World Bank's estimates is based on age/sex distributions of the population in United Nations Population Division's World Population Prospects.
Statistical concept(s): Proportion of population by age and/or sex describes the proportion of the population in the category out of total (or male total or female total). Population estimates are dependent on the demographic components of change that are fertility, mortality and migration. As the age/sex distribution of population continues to change throughout the time even within a year, a reference time in the year that the estimate refers to is needed, such as mid-year, end-year or beginning of year. The values shown are midyear estimates.",Patterns of development in a country are partly determined by the age composition of its population. Different age groups have different impacts on both the environment and on infrastructure needs.  Therefore the age structure of a population is useful for analyzing resource use and formulating future policy and planning goals  with regards infrastructure and development.,,,
"Population ages 20-24, female (% of female population)",Female population between the ages 20 to 24 as a percentage of the total female population.,"World Population Prospects, United Nations (UN), publisher: UN Population Division",Health: Population: Structure,Annual,Weighted average,"Methodology: Population structure by age and sex in the World Bank's estimates is based on age/sex distributions of the population in United Nations Population Division's World Population Prospects.
Statistical concept(s): Proportion of population by age and/or sex describes the proportion of the population in the category out of total (or male total or female total). Population estimates are dependent on the demographic components of change that are fertility, mortality and migration. As the age/sex distribution of population continues to change throughout the time even within a year, a reference time in the year that the estimate refers to is needed, such as mid-year, end-year or beginning of year. The values shown are midyear estimates.",Patterns of development in a country are partly determined by the age composition of its population. Different age groups have different impacts on both the environment and on infrastructure needs.  Therefore the age structure of a population is useful for analyzing resource use and formulating future policy and planning goals  with regards infrastructure and development.,,,
"Population ages 20-24, male",Male population between the ages 20 to 24.,World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects.,Health: Population: Structure,Annual,Sum,,,,,
"Population ages 20-24, male (% of male population)",Male population between the ages 20 to 24 as a percentage of the total male population.,"World Population Prospects, United Nations (UN), publisher: UN Population Division",Health: Population: Structure,Annual,Weighted average,"Methodology: Population structure by age and sex in the World Bank's estimates is based on age/sex distributions of the population in United Nations Population Division's World Population Prospects.
Statistical concept(s): Proportion of population by age and/or sex describes the proportion of the population in the category out of total (or male total or female total). Population estimates are dependent on the demographic components of change that are fertility, mortality and migration. As the age/sex distribution of population continues to change throughout the time even within a year, a reference time in the year that the estimate refers to is needed, such as mid-year, end-year or beginning of year. The values shown are midyear estimates.",Patterns of development in a country are partly determined by the age composition of its population. Different age groups have different impacts on both the environment and on infrastructure needs.  Therefore the age structure of a population is useful for analyzing resource use and formulating future policy and planning goals  with regards infrastructure and development.,,,
"Population ages 20-24, female",Female population between the ages 20 to 24.,World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects.,Health: Population: Structure,Annual,Sum,,,,,
"Population ages 25-29, female",Female population between the ages 25 to 29.,World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects.,Health: Population: Structure,Annual,Sum,,,,,
"Population ages 25-29, female (% of female population)",Female population between the ages 25 to 29 as a percentage of the total female population.,"World Population Prospects, United Nations (UN), publisher: UN Population Division",Health: Population: Structure,Annual,Weighted average,"Methodology: Population structure by age and sex in the World Bank's estimates is based on age/sex distributions of the population in United Nations Population Division's World Population Prospects.
Statistical concept(s): Proportion of population by age and/or sex describes the proportion of the population in the category out of total (or male total or female total). Population estimates are dependent on the demographic components of change that are fertility, mortality and migration. As the age/sex distribution of population continues to change throughout the time even within a year, a reference time in the year that the estimate refers to is needed, such as mid-year, end-year or beginning of year. The values shown are midyear estimates.",Patterns of development in a country are partly determined by the age composition of its population. Different age groups have different impacts on both the environment and on infrastructure needs.  Therefore the age structure of a population is useful for analyzing resource use and formulating future policy and planning goals  with regards infrastructure and development.,,,
"Population ages 25-29, male",Male population between the ages 25 to 29.,World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects.,Health: Population: Structure,Annual,Sum,,,,,
"Population ages 25-29, male (% of male population)",Male population between the ages 25 to 29 as a percentage of the total male population.,"World Population Prospects, United Nations (UN), publisher: UN Population Division",Health: Population: Structure,Annual,Weighted average,"Methodology: Population structure by age and sex in the World Bank's estimates is based on age/sex distributions of the population in United Nations Population Division's World Population Prospects.
Statistical concept(s): Proportion of population by age and/or sex describes the proportion of the population in the category out of total (or male total or female total). Population estimates are dependent on the demographic components of change that are fertility, mortality and migration. As the age/sex distribution of population continues to change throughout the time even within a year, a reference time in the year that the estimate refers to is needed, such as mid-year, end-year or beginning of year. The values shown are midyear estimates.",Patterns of development in a country are partly determined by the age composition of its population. Different age groups have different impacts on both the environment and on infrastructure needs.  Therefore the age structure of a population is useful for analyzing resource use and formulating future policy and planning goals  with regards infrastructure and development.,,,
"Population ages 30-34, female",Female population between the ages 30 to 34.,World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects.,Health: Population: Structure,Annual,Sum,,,,,
"Population ages 30-34, female (% of female population)",Female population between the ages 30 to 34 as a percentage of the total female population.,"World Population Prospects, United Nations (UN), publisher: UN Population Division",Health: Population: Structure,Annual,Weighted average,"Methodology: Population structure by age and sex in the World Bank's estimates is based on age/sex distributions of the population in United Nations Population Division's World Population Prospects.
Statistical concept(s): Proportion of population by age and/or sex describes the proportion of the population in the category out of total (or male total or female total). Population estimates are dependent on the demographic components of change that are fertility, mortality and migration. As the age/sex distribution of population continues to change throughout the time even within a year, a reference time in the year that the estimate refers to is needed, such as mid-year, end-year or beginning of year. The values shown are midyear estimates.",Patterns of development in a country are partly determined by the age composition of its population. Different age groups have different impacts on both the environment and on infrastructure needs.  Therefore the age structure of a population is useful for analyzing resource use and formulating future policy and planning goals  with regards infrastructure and development.,,,
"Population ages 30-34, male",Male population between the ages 30 to 34.,World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects.,Health: Population: Structure,Annual,Sum,,,,,
"Population ages 30-34, male (% of male population)",Male population between the ages 30 to 34 as a percentage of the total male population.,"World Population Prospects, United Nations (UN), publisher: UN Population Division",Health: Population: Structure,Annual,Weighted average,"Methodology: Population structure by age and sex in the World Bank's estimates is based on age/sex distributions of the population in United Nations Population Division's World Population Prospects.
Statistical concept(s): Proportion of population by age and/or sex describes the proportion of the population in the category out of total (or male total or female total). Population estimates are dependent on the demographic components of change that are fertility, mortality and migration. As the age/sex distribution of population continues to change throughout the time even within a year, a reference time in the year that the estimate refers to is needed, such as mid-year, end-year or beginning of year. The values shown are midyear estimates.",Patterns of development in a country are partly determined by the age composition of its population. Different age groups have different impacts on both the environment and on infrastructure needs.  Therefore the age structure of a population is useful for analyzing resource use and formulating future policy and planning goals  with regards infrastructure and development.,,,
"Population ages 35-39, female",Female population between the ages 35 to 39.,World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects.,Health: Population: Structure,Annual,Sum,,,,,
"Population ages 35-39, female (% of female population)",Female population between the ages 35 to 39 as a percentage of the total female population.,"World Population Prospects, United Nations (UN), publisher: UN Population Division",Health: Population: Structure,Annual,Weighted average,"Methodology: Population structure by age and sex in the World Bank's estimates is based on age/sex distributions of the population in United Nations Population Division's World Population Prospects.
Statistical concept(s): Proportion of population by age and/or sex describes the proportion of the population in the category out of total (or male total or female total). Population estimates are dependent on the demographic components of change that are fertility, mortality and migration. As the age/sex distribution of population continues to change throughout the time even within a year, a reference time in the year that the estimate refers to is needed, such as mid-year, end-year or beginning of year. The values shown are midyear estimates.",Patterns of development in a country are partly determined by the age composition of its population. Different age groups have different impacts on both the environment and on infrastructure needs.  Therefore the age structure of a population is useful for analyzing resource use and formulating future policy and planning goals  with regards infrastructure and development.,,,
"Population ages 35-39, male",Male population between the ages 35 to 39.,World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects.,Health: Population: Structure,Annual,Sum,,,,,
"Population ages 35-39, male (% of male population)",Male population between the ages 35 to 39 as a percentage of the total male population.,"World Population Prospects, United Nations (UN), publisher: UN Population Division",Health: Population: Structure,Annual,Weighted average,"Methodology: Population structure by age and sex in the World Bank's estimates is based on age/sex distributions of the population in United Nations Population Division's World Population Prospects.
Statistical concept(s): Proportion of population by age and/or sex describes the proportion of the population in the category out of total (or male total or female total). Population estimates are dependent on the demographic components of change that are fertility, mortality and migration. As the age/sex distribution of population continues to change throughout the time even within a year, a reference time in the year that the estimate refers to is needed, such as mid-year, end-year or beginning of year. The values shown are midyear estimates.",Patterns of development in a country are partly determined by the age composition of its population. Different age groups have different impacts on both the environment and on infrastructure needs.  Therefore the age structure of a population is useful for analyzing resource use and formulating future policy and planning goals  with regards infrastructure and development.,,,
"Population ages 40-44, female",Female population between the ages 40 to 44.,World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects.,Health: Population: Structure,Annual,Sum,,,,,
"Population ages 40-44, female (% of female population)",Female population between the ages 40 to 44 as a percentage of the total female population.,"World Population Prospects, United Nations (UN), publisher: UN Population Division",Health: Population: Structure,Annual,Weighted average,"Methodology: Population structure by age and sex in the World Bank's estimates is based on age/sex distributions of the population in United Nations Population Division's World Population Prospects.
Statistical concept(s): Proportion of population by age and/or sex describes the proportion of the population in the category out of total (or male total or female total). Population estimates are dependent on the demographic components of change that are fertility, mortality and migration. As the age/sex distribution of population continues to change throughout the time even within a year, a reference time in the year that the estimate refers to is needed, such as mid-year, end-year or beginning of year. The values shown are midyear estimates.",Patterns of development in a country are partly determined by the age composition of its population. Different age groups have different impacts on both the environment and on infrastructure needs.  Therefore the age structure of a population is useful for analyzing resource use and formulating future policy and planning goals  with regards infrastructure and development.,,,
"Population ages 40-44, male",Male population between the ages 40 to 44.,World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects.,Health: Population: Structure,Annual,Sum,,,,,
"Population ages 40-44, male (% of male population)",Male population between the ages 40 to 44 as a percentage of the total male population.,"World Population Prospects, United Nations (UN), publisher: UN Population Division",Health: Population: Structure,Annual,Weighted average,"Methodology: Population structure by age and sex in the World Bank's estimates is based on age/sex distributions of the population in United Nations Population Division's World Population Prospects.
Statistical concept(s): Proportion of population by age and/or sex describes the proportion of the population in the category out of total (or male total or female total). Population estimates are dependent on the demographic components of change that are fertility, mortality and migration. As the age/sex distribution of population continues to change throughout the time even within a year, a reference time in the year that the estimate refers to is needed, such as mid-year, end-year or beginning of year. The values shown are midyear estimates.",Patterns of development in a country are partly determined by the age composition of its population. Different age groups have different impacts on both the environment and on infrastructure needs.  Therefore the age structure of a population is useful for analyzing resource use and formulating future policy and planning goals  with regards infrastructure and development.,,,
"Population ages 45-49, female",Female population between the ages 45 to 49.,World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects.,Health: Population: Structure,Annual,Sum,,,,,
"Population ages 45-49, female (% of female population)",Female population between the ages 45 to 49 as a percentage of the total female population.,"World Population Prospects, United Nations (UN), publisher: UN Population Division",Health: Population: Structure,Annual,Weighted average,"Methodology: Population structure by age and sex in the World Bank's estimates is based on age/sex distributions of the population in United Nations Population Division's World Population Prospects.
Statistical concept(s): Proportion of population by age and/or sex describes the proportion of the population in the category out of total (or male total or female total). Population estimates are dependent on the demographic components of change that are fertility, mortality and migration. As the age/sex distribution of population continues to change throughout the time even within a year, a reference time in the year that the estimate refers to is needed, such as mid-year, end-year or beginning of year. The values shown are midyear estimates.",Patterns of development in a country are partly determined by the age composition of its population. Different age groups have different impacts on both the environment and on infrastructure needs.  Therefore the age structure of a population is useful for analyzing resource use and formulating future policy and planning goals  with regards infrastructure and development.,,,
"Population ages 45-49, male",Male population between the ages 45 to 49.,World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects.,Health: Population: Structure,Annual,Sum,,,,,
