Series Name,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
"Population ages 50-54, female (% of female population)",4.78308549062237,4.82466258146198,4.87069827564927,4.91909688646574,4.97142698860088,5.03129529063852,5.09920733130198,5.17320720683152,5.2510239486762,5.32678185819567
"Population ages 50-54, male",32346511,32963398,33606373,34265392,34948447,35642934,36406736,37281135,38222139,39188006
"Population ages 50-54, male (% of male population)",4.65808106096859,4.6928390990862,4.73295760837437,4.77665591416524,4.82596401622376,4.88310138732328,4.94971848970813,5.02520238817518,5.10770311618214,5.19200863673031
"Population ages 55-59, female",26565163,27190746,27827632,28478409,29100528,29622416,30170522,30831921,31528368,32264621
"Population ages 55-59, female (% of female population)",4.08992314648314,4.13712124737721,4.18706885654273,4.2398822151493,4.28931548191404,4.32899178129026,4.37322539914508,4.42868806565424,4.48730624672013,4.55014420801889
"Population ages 55-59, male",27375445,27991664,28617405,29253476,29842077,30308028,30815092,31457519,32137630,32866162
"Population ages 55-59, male (% of male population)",3.94221935992068,3.9850375138541,4.03033562593029,4.0779859386101,4.12083511782258,4.15221642571241,4.18950022159929,4.24022498234978,4.29461772015324,4.35442912770206
"Population ages 60-64, female",21730518,22450059,23107841,23701669,24253235,24710449,25198184,25809183,26456422,27111462
"Population ages 60-64, female (% of female population)",3.34559012043229,3.41581719757452,3.47690819499559,3.52871836563818,3.57484160285409,3.6111615822623,3.65248370934295,3.70722352819762,3.76543651315535,3.82341580241169
"Population ages 60-64, male",21869587,22594382,23257654,23856378,24391302,24812283,25280408,25884769,26519323,27151107
"Population ages 60-64, male (% of male population)",3.14934450540475,3.21665265260908,3.27549444522798,3.32562105416046,3.36814813229768,3.39929629642604,3.4370260818342,3.48906233043154,3.54383172344543,3.59724299935463
"Population ages 65 and above, male (% of male population)",5.12714389686587,5.30756455594171,5.49901074347834,5.69957794451642,5.88425766723156,6.00629549288907,6.15634764493584,6.37319370773675,6.59081637972026,6.81260308190019
"Population ages 65 and above, total",75821720,79196036,82744296,86445927,90003916,92570827,95489097,99540924,103691375,107983087
Population growth (annual %),1.19162966402099,1.1623961434697,1.09729906702925,1.04001395098104,0.973438646910149,0.822648220128724,0.790200540609834,0.883289539766135,0.890706546985984,..
"Population, female",649527205,657238304,664608905,671679248,678442228,684279793,689891756,696186332,702612364,709090076
"Population, female (% of total population)",48.3299201412735,48.3385229249662,48.3471809414411,48.3559820255384,48.3697182728258,48.3862189133723,48.3990824754438,48.4111710543389,48.4247730573765,48.4395638731912
"Population, male",694417091,702419096,710050159,717351064,724175467,729924103,735531456,741883264,748323427,754775449
