State,Year,TFR
Rajasthan,1995,4.4
Rajasthan,1996,4.2
Rajasthan,1997,4.2
Rajasthan,1998,4.1
Rajasthan,1999,4.2
Rajasthan,2000,4.1
Rajasthan,2001,4.0
Rajasthan,2002,3.9
Rajasthan,2003,3.8
Rajasthan,2004,3.7
Rajasthan,2005,3.7
Rajasthan,2006,3.5
Rajasthan,2007,3.4
Rajasthan,2008,3.3
Rajasthan,2009,3.3
Rajasthan,2010,3.1
Tamil Nadu,1971,3.9
Tamil Nadu,1972,3.9
Tamil Nadu,1973,3.7
Tamil Nadu,1974,3.6
Tamil Nadu,1975,3.8
Tamil Nadu,1976,3.8
Tamil Nadu,1977,3.9
Tamil Nadu,1978,3.5
Tamil Nadu,1979,3.6
Tamil Nadu,1980,3.4
Tamil Nadu,1981,3.4
Tamil Nadu,1982,3.3
Tamil Nadu,1983,3.3
Tamil Nadu,1984,3.3
Tamil Nadu,1985,2.8
Tamil Nadu,1986,2.7
Tamil Nadu,1987,2.6
Tamil Nadu,1988,2.5
Tamil Nadu,1989,2.5
Tamil Nadu,1990,2.3
Tamil Nadu,1991,2.2
Tamil Nadu,1992,2.2
Tamil Nadu,1993,2.1
Tamil Nadu,1994,2.1
Tamil Nadu,1995,2.2
Tamil Nadu,1996,2.1
Tamil Nadu,1997,2.0
Tamil Nadu,1998,2.0
Tamil Nadu,1999,2.0
Tamil Nadu,2000,2.1
Tamil Nadu,2001,2.0
Tamil Nadu,2002,2.0
Tamil Nadu,2003,1.9
Tamil Nadu,2004,1.8
Tamil Nadu,2005,1.7
Tamil Nadu,2006,1.7
Tamil Nadu,2007,1.6
Tamil Nadu,2008,1.7
Tamil Nadu,2009,1.7
Tamil Nadu,2010,1.7
Uttar Pradesh,1971,6.6
Uttar Pradesh,1972,6.6
Uttar Pradesh,1973,6.4
Uttar Pradesh,1974,6.4
Uttar Pradesh,1975,6.6
Uttar Pradesh,1976,5.9
Uttar Pradesh,1977,6.1
Uttar Pradesh,1978,6.0
Uttar Pradesh,1979,5.8
Uttar Pradesh,1980,5.9
Uttar Pradesh,1981,5.8
Uttar Pradesh,1982,5.7
Uttar Pradesh,1983,5.8
Uttar Pradesh,1984,5.9
Uttar Pradesh,1985,5.6
Uttar Pradesh,1986,5.4
Uttar Pradesh,1987,5.5
Uttar Pradesh,1988,5.4
Uttar Pradesh,1989,5.2
Uttar Pradesh,1990,5.2
Uttar Pradesh,1991,5.1
Uttar Pradesh,1992,5.2
Uttar Pradesh,1993,5.2
Uttar Pradesh,1994,5.1
Uttar Pradesh,1995,5.0
Uttar Pradesh,1996,4.9
Uttar Pradesh,1997,4.8
Uttar Pradesh,1998,4.6
Uttar Pradesh,1999,4.7
Uttar Pradesh,2000,4.7
Uttar Pradesh,2001,4.5
Uttar Pradesh,2002,4.4
Uttar Pradesh,2003,4.4
Uttar Pradesh,2004,4.4
Uttar Pradesh,2005,4.2
Uttar Pradesh,2006,4.2
Uttar Pradesh,2007,3.9
Uttar Pradesh,2008,3.8
Uttar Pradesh,2009,3.7
Uttar Pradesh,2010,3.5
West Bengal,1971,
West Bengal,1972,
West Bengal,1973,
West Bengal,1974,
West Bengal,1975,
West Bengal,1976,
West Bengal,1977,
West Bengal,1978,
West Bengal,1979,
West Bengal,1980,
West Bengal,1981,4.2
West Bengal,1982,4.1
West Bengal,1983,4.1
West Bengal,1984,3.9
West Bengal,1985,3.7
West Bengal,1986,3.6
West Bengal,1987,3.8
West Bengal,1988,3.5
West Bengal,1989,3.3
West Bengal,1990,3.4
West Bengal,1991,3.2
West Bengal,1992,2.9
West Bengal,1993,3.0
West Bengal,1994,3.0
West Bengal,1995,2.8
West Bengal,1996,2.6
West Bengal,1997,2.6
West Bengal,1998,2.4
West Bengal,1999,2.4
West Bengal,2000,2.4
West Bengal,2001,2.4
West Bengal,2002,2.3
West Bengal,2003,2.3
West Bengal,2004,2.2
West Bengal,2005,2.1
West Bengal,2006,2.0
West Bengal,2007,1.9
West Bengal,2008,1.9
West Bengal,2009,1.9
West Bengal,2010,1.8
All India,1971,5.2
All India,1972,5.2
All India,1973,4.9
All India,1974,4.9
All India,1975,4.9
All India,1976,4.7
All India,1977,4.5
All India,1978,4.5
All India,1979,4.4
All India,1980,4.4
All India,1981,4.5
All India,1982,4.5
All India,1983,4.5
All India,1984,4.5
All India,1985,4.3
All India,1986,4.2
All India,1987,4.1
All India,1988,4.0
All India,1989,3.9
All India,1990,3.8
All India,1991,3.6
All India,1992,3.6
All India,1993,3.5
All India,1994,3.5
All India,1995,3.5
All India,1996,3.4
All India,1997,3.3
All India,1998,3.2
All India,1999,3.2
All India,2000,3.2
All India,2001,3.1
All India,2002,3.0
All India,2003,3.0
All India,2004,2.9
All India,2005,2.9
All India,2006,2.8
All India,2007,2.7
All India,2008,2.6
All India,2009,2.6
All India,2010,2.5
