States     Districts  Fertility (Fertility (Fertility (Fertility (Fertility (
Tamil Nadu Madurai    5.1        38.2       12.2       28.4       2.5        
Tamil Nadu Theni      4.2        23.2       6.5        43.6       2.2        
Tamil Nadu Virudhunaga4.5        29.4       11.7       29.7       2.4        
Tamil Nadu Ramanathapu3.9        31.2       11.5       33.3       2.6        
Tamil Nadu Thoothukkud2.5        20.8       14.3       45.7       2.5        
Tamil Nadu Thirunelvel2.1        30.9       15.5       43.4       2.4        
Tamil Nadu Kanniyakuma0.6        24.4       4.6        35.3       2.3        
Tamil Nadu Krishnagiri2.8        44.9       13.6       36.3       2.6        
Tamil Nadu Tiruppur   5.8        21.7       6.5        32.8       2          
Telangana  Total      4.3        37.2       15.5       61.1       2.4        
Telangana  Adilabad   2.4        35.2       16.7       41.1       2.7        
Telangana  Nizamabad  3.4        34.9       14.7       69.7       2.5        
Telangana  Karimnagar 3.4        22.9       8.6        72.5       2.4        
Telangana  Medak      2.1        41.5       16         76         2.1        
Telangana  Hyderabad  3.2        40.4       11.6       31.1       2.2        
Telangana  Rangareddi 4.5        39.4       19.9       68         2.6        
Telangana  Mahbubnagar4.9        40.9       23.1       54.5       2.6        
Telangana  Nalgonda   5.5        38.8       16.1       81.8       2.6        
Telangana  Warangal   8.2        33.9       11.9       57.5       2.4        
Telangana  Khammam    4.6        35.8       6.4        43.2       2.1        
Tripura    Total      12.3       32.2       19         87.4       2.8        
Tripura    West Tripur86.3       34.6       12.2       96         2.3        
Tripura    South Tripu14.8       28.9       16.1       88.6       2.8        
Tripura    Dhalai     14         36         22.1       81.6       3.1        
Tripura    North Tripu8.7        32.2       26.9       83.7       3.1        
West BengalTotal      11.2       34.7       19.8       82.6       2.9        
West BengalDarjeeling 6.5        30.5       17.1       90.1       2.7        
West BengalJalpaiguri 3.9        28.5       20.6       81         2.8        
West BengalKoch Bihar 7.6        34.8       16.3       86.7       2.7        
West BengalUttar Dinaj4.5        36.2       37.3       76.4       3.9        
West BengalDakhin Dina6.7        30.9       13.5       94.2       3.1        
West BengalMaldah     7          39.8       20.6       88.1       3.2        
West BengalMurshidabad11.6       45         30.2       75.4       3.6        
West BengalBirbhum    12.8       54.8       18.2       83.9       2.8        
West BengalBarddhaman 14         41         20.1       84.6       3          
West BengalNadia      14.9       25.5       12.9       90.3       2.8        
West BengalNorth 24 pa21.5       27.7       13.9       78         2.5        
West BengalHugli      8.4        25         8.6        88.5       2.4        
West BengalBankura    12.8       33.1       11.7       81.6       2.8        
West BengalPuruliya   6.1        41.8       24.6       79.3       3          
West BengalPaschim Med7.4        33.1       12.1       86.8       2.5        
West BengalHaora      5.4        24.2       16.4       84.7       2.9        
West BengalKolkata    3.6        21.4       13.2       67.7       2.2        
West BengalSouth 24 Pa12.1       29         19.5       77         3.1        
West BengalPurba Medin13         24.5       9.8        90.5       2.8        
